SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE
PAST SALE,December-2-2021,Single Family Residential,1705 Pleasant St,Cincinnati,OH,45202,550000,3,2.5,1747,1699
PAST SALE,July-31-2020,Condo/Co-op,21 Mercer St #2,Cincinnati,OH,45202,260000,1,1,786,5975
PAST SALE,June-7-2024,Condo/Co-op,1150 Vine St #12,Cincinnati,OH,45202,295000,2,1,,
PAST SALE,January-20-2023,Condo/Co-op,33 E Court St #202,Cincinnati,OH,45202,209000,1,1,510,1263
PAST SALE,August-4-2023,Condo/Co-op,14 W 14th St #101,Cincinnati,OH,45202,255000,1,1,631,2631
PAST SALE,December-27-2021,Condo/Co-op,1508 Race St Unit 2R,Cincinnati,OH,45202,319000,1,1.5,771,
PAST SALE,March-14-2022,Condo/Co-op,26 E Sixth St #404,Cincinnati,OH,45202,350000,2,2,1280,37968
PAST SALE,January-21-2022,Condo/Co-op,26 E Sixth St #505,Cincinnati,OH,45202,315000,1,1.5,1233,8504
PAST SALE,March-24-2021,Condo/Co-op,1207 Republic St Unit 102B,Cincinnati,OH,45202,221000,2,1,982,8925
PAST SALE,April-4-2022,Condo/Co-op,1307 Republic St #4,Cincinnati,OH,45202,335000,2,1.5,986,4624
PAST SALE,November-21-2022,Condo/Co-op,26 E 6th St #202,Cincinnati,OH,45202,535000,2,2.5,1923,8503
PAST SALE,May-28-2024,Condo/Co-op,15 W Fourth St #403,Cincinnati,OH,45202,399000,2,2,1528,
PAST SALE,August-18-2023,Condo/Co-op,19 W Court St,Cincinnati,OH,45202,312750,1,1.5,1654,3184
PAST SALE,,Single Family Residential,1614 Elm St,Cincinnati,OH,45202,130000,3,2,2280,1960
PAST SALE,March-24-2023,Condo/Co-op,1328 Republic St #302,Cincinnati,OH,45202,429000,3,2,1412,2879
PAST SALE,March-16-2022,Condo/Co-op,1237 Vine St #5,Cincinnati,OH,45202,235000,1,1,811,1999
PAST SALE,May-24-2021,Condo/Co-op,1432 Race St #302,Cincinnati,OH,45202,152000,1,1,473,13597
PAST SALE,May-5-2022,Condo/Co-op,11 E Court St #301,Cincinnati,OH,45202,267000,1,1,,
PAST SALE,July-30-2020,Condo/Co-op,104 W Ninth St Unit 4B,Cincinnati,OH,45202,279000,2,1.5,1197,4522
PAST SALE,September-29-2022,Condo/Co-op,1222 Republic St #6,Cincinnati,OH,45202,425000,2,2,1476,4369
PAST SALE,May-13-2021,Condo/Co-op,1201 Vine St Unit F,Cincinnati,OH,45202,190000,1,1,697,14414
PAST SALE,August-1-2024,Condo/Co-op,26 E Sixth St #501,Cincinnati,OH,45202,600000,2,2.5,1996,8503
